Keyword,Searches,Results,Searches:Results
knot sweatshirt,57200,120,476.6666667
sweatshirt,50400,4100000,0.01229268293
embroidered sweatshirt,40500,500500,0.08091908092
hoodie,39600,2100000,0.01885714286
hoodies,28000,2600000,0.01076923077
custom sweatshirts,27700,235600,0.1175721562
sweatshirts,26600,4500000,0.005911111111
mama sweatshirt,24400,845200,0.02886890677
couple hoodies,19900,92000,0.2163043478
resist sweatshirt,19700,2500,7.88
nurse sweatshirt,17700,203500,0.08697788698
custom sweatshirt,17200,1400000,0.01228571429
patriots sweatshirt,15800,77500,0.2038709677
custom embroidered sweatshirt,15200,923100,0.01646625501
custom hoodie,14200,719000,0.01974965229
sweatshirts for women,14100,4100000,0.00343902439
teacher sweatshirt,11200,297800,0.03760913365
grandma sweatshirt,10500,97900,0.1072522983
hoodies & sweatshirts,10300,2200000,0.004681818182
christian sweatshirt,10000,225400,0.04436557232
patchwork hoodie,9100,11100,0.8198198198
embroidered hoodie,8700,435500,0.01997703789
bride sweatshirt,8200,92400,0.08874458874
mom sweatshirt,8100,853900,0.009485888277
crewneck sweatshirt,7900,1500000,0.005266666667
vintage sweatshirt,7500,863300,0.008687594116
mock neck sweatshirt,6800,9000,0.7555555556
christian hoodie,6600,181900,0.03628367235
comfort colors sweatshirt,6500,556000,0.01169064748
st patricks day sweatshirt,6300,59700,0.1055276382
couple sweatshirt,5800,159700,0.03631809643
patchwork sweatshirt,5600,69100,0.08104196816
bookish sweatshirt,5600,163600,0.03422982885
roman numeral sweatshirt,5500,1600,3.4375
custom embroidered hoodie,5500,122900,0.04475183076
christian hoodies,5100,124700,0.04089815557
couple hoodie,4900,94300,0.05196182397
book sweatshirt,4900,188100,0.02604997342
occupational therapy sweatshirt,4700,16600,0.2831325301
auntie sweatshirt,4700,50000,0.094
mockneck sweatshirt,4600,5900,0.7796610169
valentine sweatshirt women,4400,291700,0.0150839904
custom hoodies,4400,1100000,0.004
womens sweatshirts,4400,4000000,0.0011
matching couples hoodies,4300,132200,0.03252647504
big brother sweatshirt,4200,18400,0.2282608696
radiology sweatshirt,4000,10700,0.3738317757
cheer mom sweatshirt,4000,55500,0.07207207207
dog sweatshirt,4000,266000,0.01503759398
